id;lat;lng;title;reiting;content_text;address;content;cats
1;55.8779092220077;37.4977380486878;ООО «Экобридж»;3.7;Бумага;Бусиновская Горка ул., 1в;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
2;55.8681185;37.4655941999999;ЗО «Фрунзенское» на Валдайский пр-д;2.8;Бумага;Валдайский пр-д, д. 7, корп. 3 / ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
3;55.8875192;37.5723304000001;«Технамекс»;3.9;Бумага, Пластик;Илимская, вл. 3к, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span></div>";1_3
12;55.7991528;37.4871042;Пункт на ул. Маршала Рыбалко;3.5;Бумага, Стекло, Металл;ул. Маршала Рыбалко, д. 14/2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_4
13;55.8106091070415;37.4546566716158;Пункт на ул. Авиационная;4;Бумага, Стекло, Металл, Опасные отходы;ул. Авиационная, д.68 (ГАЗЕЛЬ, двор, контейнерная площадка) ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span></div>";1_2_4_7
28;55.6304251588474;37.6443854084932;Пункт приёма, Кавказский б-р;3.8;Бумага;Кавказский б-р, д. 52а, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
33;55.7751432805568;37.5285890809023;ООО «Экомет-М»;4.4;Металл, Опасные отходы;ул. 5-я магистральная, д. 18 (искать шиномонтаж) ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span></div>";4_7
34;55.8978993311856;37.5533297768557;ООО «АХ Лианозово»;3.6;Стекло, Металл;Лианозовский пр-д, д. 1 (рынок), ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";2_4
35;55.8172041180559;37.6463702431643;ООО МПКТФ «ДИОНИС»;3.9;Стекло, Металл;Ярославская ул., д.9, корп.2, стр. 2, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";2_4
37;55.789520482825;37.7333274594271;ООО «Метал-проект»;3;Металл;ул.Лечебная, дом 6 (за больницей № 36), ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
39;55.6597348531053;37.5221195927584;ООО «Бриар»;3.8;Металл;ул. Акад. Челомея, стр. 11, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
40;55.7563658977144;37.693695139023;ООО «Рем»;0;Металл;проезд Завода Серп и Молот, д. 1, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
41;55.7605494920285;37.6642981282198;Прием макулатуры на базе типографии IdeaPrint;5;Бумага;Нижний Сусальный переулок, д. 5, стр. 10, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
42;55.8139127805933;37.8196784964525;Комплексный центр социального обслуживания «Гольяново»;5.0;Одежда;ул. Новосибирская, д. 3 каб 15 От м. на троллейбусе (5 остановок), ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span></div>";5
43;55.6846559511445;37.8453633299791;Комплексный центр социального обслуживания Жулебино;3.3;Одежда;Жулебинский б-р, д. 40, корп. 1, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span></div>";5
44;55.6184855124311;37.7043274155581;Территориальный   центр «Орехово»;2.8;Одежда; Шипиловский проезд, 53/2, подъезд 2 / (495) 343-49-01, (495) 343-11-95;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span></div>";5
47;55.7789115496357;37.6050642243349;Интернет-магазин «И-Мне»;2.7;Опасные отходы;ул. Краснопролетарская, д. 31/1, корп. 5, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span></div>";7
52;55.6851821542236;37.9728272667849;НО Фонд рационального природопользования ;4.7;Опасные отходы;Люберецкий район, дер. Машково, Машковский проезд, д.1 (на карте точка стоит не точно обязательно позвоните им для уточнения), ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span></div>";7
54;55.6798774611949;37.9802730790102;ЭКО-ФОНД;3.7;Опасные отходы;Люберецкий район, дер.Машково, схема проезда на сайте. (точка указывает точно на место) / (495)943-10-25 (круглосуточно);"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span></div>";7
60;55.758246;37.9241609000001;Пункт приема вторсырья;2.1;Бумага;МО, г. Балашиха, мк-он Салтыковский, ул. Пушкинская, д.1, ;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
67;55.5972209651093;37.5568445420806;"Экоцентр ""Битцевский лес""";4.5;Бумага, Стекло, Пластик, Металл, Одежда, Иное, Опасные отходы, Батарейки, Бытовая техника;Новоясеневский туп., д. 1с3;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash3.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash5.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash6.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span></div>";1_2_3_4_5_6_7_8_10
