id;lat;lng;title;reiting;content_text;address;content;cats
229;60.043175;30.409615;Пункт приёма;3;Стекло, Металл;Тимуровская ул., 26;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";2_4
231;60.003030682141;30.3609641822784;Пункт приёма;3.4;Бумага, Стекло, Металл, Бытовая техника;пр. Тореза, 21;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash10.png)"" data-tooltip=""""></span></div>";1_2_4_10
232;60.0552890654567;30.3392238962952;Пункт приёма;4.4;Бумага, Стекло, Металл;пр. Энгельса, 145к1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_4
241;60.0485809085658;30.333561419049;Пункт приёма;4;Бумага, Стекло, Металл;пр. Энгельса, 133;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_4
242;60.0008827;30.6599366;Пункт приёма макулатуры ООО «Синай»;2.8;Бумага;пр. Гоголя, 1;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
246;60.0375367916592;30.4301198637543;Пункт приёма;0;Металл;ул. Руставели, 66;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
258;59.879529165068;30.4201909315994;Пункт приёма;5;Металл;Варфоломеевская ул., 18;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
263;59.7412919873679;30.5642571246063;Пункт приёма;0;Металл;Пролетарская ул., 60;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
264;59.9535484;30.4494933;Пункт приёма металла ООО «ПромИнвест»;1.0;Металл;Ириновский пр., 2;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";4
276;59.9970670595815;29.7672447067459;Приём опасных отходов в магазине «ЭкоЛогика»;3.7;Опасные отходы, Батарейки, Лампочки;пр. Ленина, 16;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";7_8_9
279;59.938637;30.273197;ГУП «Экострой»;5;Опасные отходы, Батарейки, Лампочки;13-я линия В.О, 22;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash7.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash9.png)"" data-tooltip=""""></span></div>";7_8_9
280;59.802232;30.137489;Терминал приема опасных отходов «Экобокс»;0;Батарейки;Волхонское ш., 116;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash8.png)"" data-tooltip=""""></span></div>";8
287;59.847345421693;30.3309551134919;Пункт приёма;2.5;Бумага, Стекло, Металл;ул. Ленсовета, 34;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_4
288;60.0315399;30.2692651;ООО «Зеленый город»;3.5;Бумага;Санкт-Петербург, Макулатурный проезд д 5, 8 906 227-56-95 (Ильдар Абдулович);"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span></div>";1
318;59.8351609519018;30.170933;Пункт приёма;3.8;Бумага, Стекло, Металл;ул. Отважных, 4;"<div class=""trash_type sm_trash_type""><span style=""background-image: url(images/trash/trash1.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash2.png)"" data-tooltip=""""></span><span style=""background-image: url(images/trash/trash4.png)"" data-tooltip=""""></span></div>";1_2_4
