"id", "standard_id", "general_type_eng", "detailed_type_eng", "general_type_ru", "detailed_type_ru", "synonymes", "pic", "rsbor_take", "clean_required", "comment"
"1", "70", "glass", "glass bottle", "стекло", "стеклянная бутылка из-под напитков", "бутылка стекло", "y_5951dc19.jpg", "1", "1", "Подготовка: снять все крышечки, горлышки и прочие не стеклянные элементы. Бумажные этикетки можно не снимать."
"2", "70", "glass", "glass jar", "стекло", "стеклянная банка", "банка стекло", "OQTTtMN3LV4.jpg", "1", "1", "Подготовка: снять все крышечки, горлышки и прочие не стеклянные элементы. Бумажные этикетки можно не снимать."
"3", "70", "glass", "medicine glass bottle", "стекло", "пузырек от лекарств", "лекарство", "9LvhGyr6BTI.jpg", "1", "1", "Подготовка: снять все крышечки, горлышки и прочие не стеклянные элементы. Бумажные этикетки можно не снимать."
"4", "70", "glass", "perfume glass bottle", "стекло", "флакон от парфюма", "парфюм, парфюмерия", "YTVjZjJiZTMyOA.jpg", "1", "1", "Подготовка: снять все крышечки, горлышки и прочие не стеклянные элементы. Бумажные этикетки можно не снимать."
"5", "20", "paper", "corrugated cardboard", "бумага", "гофрокартон", "картон", "V65YC-_uukY.jpg", "1", "0", "Подготовка: удобно сложить, перевязать веревкой\nСортировать отдельно от других видов бумаги"
"6", "22", "paper", "book", "бумага", "книга", "", "pWWqRYdswAvg.jpg", "1", "0", "Подготовка: удобно сложить, перевязать веревкой\nСортировать отдельно от других видов бумаги"
"7", "22", "paper", "newspaper", "бумага", "газета", "", "TW_p73E12AA.jpg", "1", "0", "Подготовка: удобно сложить, перевязать веревкой\nСортировать отдельно от других видов бумаги"
"8", "22", "paper", "glossy magazine", "бумага", "глянцевый журнал", "", "LapPWiSl-Yk.jpg", "1", "0", "Подготовка: удобно сложить, перевязать веревкой\nСортировать отдельно от других видов бумаги"
"9", "22", "paper", "envelope", "бумага", "конверт", "", "yLqlwfD8Rx0.jpg", "1", "0", "Подготовка: удобно сложить, перевязать веревкой\nСортировать отдельно от других видов бумаги"
"10", "22", "paper", "craft paper", "бумага", "крафтовая бумага", "крафт", "vk4nverFUps.jpg", "1", "0", "Подготовка: удобно сложить, перевязать веревкой.\nСортировать отдельно от других видов бумаги"
